Site_ID,Sensor,BDW_1,CLY_1,SLT_1,SND_1,SOC_1,BDW_2,CLY_2,SLT_2,SND_2,SOC_2
1,1,1.490168,30.31049667,9.926053333,51.33029,1.228089233,1.490168,34,14.33333333,51.66666667,0.986666667
1,2,1.492282,41.9388,9.180739,40.5701,0.4021501,1.492282,38,15,47,0.37
1,3,1.51679,43.12397,9.209234,40.88208,0.2679959,1.51679,36,16,48,0.27
2,1,1.470338333,34.97928667,11.43687733,46.29666667,1.181072333,1.470338333,35,13.66666667,51,0.956666667
2,2,1.485877,44.33118,10.55789,35.23489,0.3625183,1.485877,41,14,45,0.38
2,3,1.510733,45.15783,10.518163,37.21852,0.2423772,1.510733,40,15,45,0.28
3,1,1.463343667,29.15842667,6.223945,60.42975333,1.307105967,1.463343667,17,11,72,1.203333333
3,2,1.483124,37.77785,5.656805,46.78798,0.3880857,1.483124,29,11,60,0.31
3,3,1.510842,38.68466,5.700718,44.08715,0.258525,1.510842,36,12,52,0.24
4,1,1.457839333,36.83350667,11.36162267,47.44073,1.1720646,1.457839333,31,14,55,1.106666667
4,2,1.476976,45.23528,10.450156,36.78643,0.4059022,1.476976,34,15,52,0.43
4,3,1.501801,45.81439,10.370003,37.85128,0.272262,1.501801,35,15,50,0.34
5,1,1.477481,39.73166667,11.274242,48.95293667,1.121210367,1.477481,36.66666667,13.66666667,49.66666667,0.906666667
5,2,1.499838,47.91247,10.422358,36.77119,0.3487804,1.499838,45,13,42,0.39
5,3,1.525061,48.39868,10.394944,36.12304,0.2342082,1.525061,44,14,42,0.27
6,1,1.446153333,40.92087333,12.704826,43.82085667,1.4083355,1.446153333,37.33333333,16.66666667,46,1.04
6,2,1.478162,48.98853,11.722016,32.83994,0.4149861,1.478162,36,18,47,0.38
6,3,1.503737,49.71455,11.623771,33.62242,0.276038,1.503737,34,19,47,0.26
7,1,1.470414333,46.5159,10.11876733,42.09454,1.071243067,1.470414333,37.33333333,14,49,0.883333333
7,2,1.480581,50.56591,9.307551,30.65089,0.3290788,1.480581,40,14,46,0.41
7,3,1.505995,50.24891,9.283195,34.07403,0.2234766,1.505995,40,15,45,0.33
8,1,1.496211,31.91538,9.605786,56.17725667,1.231679833,1.496211,21,12,67,0.936666667
8,2,1.504202,42.96652,8.864813,43.6844,0.3694206,1.504202,38,12,51,0.29
8,3,1.531827,44.17545,8.887477,41.90979,0.2459587,1.531827,40,12,47,0.2
9,1,1.461451667,38.02413333,11.957102,48.19497333,1.388831967,1.461451667,26,13,61,1.093333333
9,2,1.493124,46.72219,11.022242,36.43923,0.3973851,1.493124,38,14,49,0.42
9,3,1.519337,47.72208,10.954323,37.39905,0.2670838,1.519337,39,14,47,0.31
10,1,1.478133667,38.99660333,11.96476933,51.86027333,1.323489933,1.478133667,34,16,50,1.03
10,2,1.495077,44.82192,11.035872,39.8404,0.3506724,1.495077,45,15,40,0.38
10,3,1.520247,45.68576,10.963367,38.39482,0.2367489,1.520247,42,16,42,0.26
11,1,1.458746667,40.53814333,10.32556167,40.36482667,1.1450447,1.458746667,33,15,52,0.943333333
11,2,1.467353,49.56266,9.488358,30.45397,0.3238987,1.467353,38,15,47,0.36
11,3,1.492223,50.12619,9.450015,32.37965,0.2177191,1.492223,40,16,44,0.27
12,1,1.461665667,39.06962,10.58150833,51.53767333,1.0869436,1.461665667,32.66666667,15,52.66666667,1.05
12,2,1.481954,49.75313,9.727754,39.83183,0.3322828,1.481954,45,14,41,0.38
12,3,1.507914,50.53325,9.681076,35.55804,0.2240306,1.507914,43,15,42,0.25
13,1,1.468136333,39.27948,11.36835533,50.09859667,1.238150833,1.468136333,35,14.66666667,50.33333333,0.906666667
13,2,1.490129,47.20017,10.486849,38.29273,0.3447512,1.490129,41,14,45,0.36
13,3,1.516503,48.10472,10.439676,35.43972,0.2305896,1.516503,41,15,44,0.26
